Time,Charge
388,-1845.08547
388.5,-1845.08547
389,-1845.08547
389.5,-1845.08547
390,-1845.08547
390.5,-1845.08547
391,-1845.08547
391.5,-1845.08547
392,-1845.08547
392.5,-1845.08547
393,-1845.08547
393.5,-1845.08547
394,-1845.08547
394.5,-1845.08547
395,-1845.08547
395.5,-1845.08547
396,-1845.08547
396.5,-1845.08547
397,-1845.08547
397.5,-1845.08547
398,-1845.08547
398.5,-1845.08547
399,-1845.08547
399.5,-1845.08547
400,-1845.08547
400.5,-1845.08547
401,-1845.08547
401.5,-1845.08547
402,-1878.205128
402.5,-1966.880342
403,-1985.042735
403.5,-2027.777778
404,-2050.213675
404.5,-2094.017094
405,-2128.205128
405.5,-2126.068376
406,-2121.794872
406.5,-2102.564103
407,-2089.74359
407.5,-2080.128205
408,-2068.376068
408.5,-2056.623932
409,-2045.940171
409.5,-2035.25641
410,-2024.57265
410.5,-2013.888889
411,-2003.205128
411.5,-1992.521368
412,-1981.837607
412.5,-1971.153846
413,-1954.059829
413.5,-1960.470085
414,-1958.333333
414.5,-1942.307692
415,-1929.487179
415.5,-1908.119658
416,-1883.547009
416.5,-1857.905983
417,-1830.128205
417.5,-1830.128205
418,-1830.128205
418.5,-1830.128205
419,-1830.128205
419.5,-1830.128205
420,-1830.128205
420.5,-1830.128205
421,-1830.128205
421.5,-1830.128205
422,-1830.128205
422.5,-1830.128205
423,-1830.128205
423.5,-1830.128205
424,-1830.128205
424.5,-1830.128205
425,-1830.128205
425.5,-1830.128205
426,-1830.128205
426.5,-1830.128205
427,-1830.128205
427.5,-1830.128205
428,-1830.128205
428.5,-1830.128205
429,-1830.128205
429.5,-1830.128205
430,-1830.128205
430.5,-1830.128205
431,-1830.128205
431.5,-1830.128205
432,-1830.128205
432.5,-1830.128205
433,-1830.128205
433.5,-1830.128205
434,-1830.128205
434.5,-1830.128205
435,-1830.128205
435.5,-1830.128205
436,-1830.128205
436.5,-1830.128205
437,-1830.128205
437.5,-1830.128205
438,-1830.128205
438.5,-1830.128205
439,-1830.128205
439.5,-1830.128205
440,-1830.128205
440.5,-1931.623932
441,-1951.923077
441.5,-1964.74359
442,-1996.794872
442.5,-2022.435897
443,-2038.461538
443.5,-2057.692308
444,-2076.923077
444.5,-2101.495726
445,-2117.521368
445.5,-2133.547009
446,-2157.051282
446.5,-2122.863248
447,-2129.273504
447.5,-2183.760684
448,-2222.222222
448.5,-2264.957265
449,-2314.102564
449.5,-2364.316239
450,-2407.051282
450.5,-2430.555556
451,-2451.923077
451.5,-2455.128205
452,-2455.128205
452.5,-2455.128205
453,-2457.264957
453.5,-2449.786325
454,-2443.376068
454.5,-2436.965812
455,-2430.555556
455.5,-2424.145299
456,-2417.735043
456.5,-2411.324786
457,-2411.324786
457.5,-2418.803419
458,-2424.145299
458.5,-2426.282051
459,-2426.282051
459.5,-2425.213675
460,-2424.145299
460.5,-2423.076923
461,-2422.008547
461.5,-2420.940171
462,-2419.871795
462.5,-2418.803419
463,-2417.735043
463.5,-2416.666667
464,-2415.598291
464.5,-2414.529915
465,-2413.461538
465.5,-2412.393162
466,-2411.324786
466.5,-2410.25641
467,-2409.188034
467.5,-2408.119658
468,-2407.051282
468.5,-2405.982906
469,-2404.91453
469.5,-2403.846154
470,-2402.777778
470.5,-2401.709402
471,-2400.641026
471.5,-2399.57265
472,-2398.504274
472.5,-2397.435897
473,-2396.367521
473.5,-2395.299145
474,-2394.230769
474.5,-2393.162393
475,-2386.752137
475.5,-2395.299145
476,-2356.837607
476.5,-2316.239316
477,-2236.111111
477.5,-2192.307692
478,-2179.487179
478.5,-2111.111111
479,-2086.538462
479.5,-2042.735043
480,-2005.34188
480.5,-1972.222222
481,-1935.897436
481.5,-1935.897436
482,-1945.512821
482.5,-1912.393162
483,-1884.615385
483.5,-1862.179487
484,-1836.538462
484.5,-1809.82906
485,-1795.940171
485.5,-1795.940171
486,-1795.940171
486.5,-1795.940171
487,-1795.940171
487.5,-1795.940171
488,-1795.940171
488.5,-1795.940171
489,-1795.940171
489.5,-1795.940171
490,-1795.940171
490.5,-1795.940171
491,-1795.940171
491.5,-1795.940171
492,-1795.940171
492.5,-1795.940171
493,-1795.940171
493.5,-1795.940171
494,-1795.940171
494.5,-1795.940171
495,-1795.940171
495.5,-1795.940171
496,-1795.940171
496.5,-1795.940171
497,-1795.940171
497.5,-1795.940171
498,-1795.940171
498.5,-1795.940171
