Zeit [s],Leistung [kW],Leistung [W],Current [A],Charge [C],SOC [%],U_R1 [V],U_R [V],I_R1 [A],U_R2 [V],I_R2 [A],Q_Irreversibel [W],Q_Sum_Cell [W],U_ges [V],Temperatur [K],Output Temperature [K],OCV [V],R [Ohm],R1 [Ohm],R2 [Ohm],C1 [C],C2 [C]
852.0,0.6,-600,-12.82051282051282,-3303.418803418832,33.61399403066055,-0.035716101706349736,-0.028144559829059827,-22.663671355086457,-0.02496098193823682,-18.733818899308698,0,0,45.72054716217945,293.15,293.15,3.605786809795142,0.0021952756666666668,0.0015768065622371414,0.0013312062401924266,8715.922584095853,7121.632095686637
852.5,0.6,-600,-12.82051282051282,-3309.8290598290882,33.58219712386365,-0.03515085987645919,-0.028144559829059824,-22.317571544949406,-0.0245457229211429,-18.405635843627152,0,0,45.73120207266114,293.15,293.15,3.60562591744675,0.0021952756666666663,0.0015759186208960754,0.0013324022225472626,8707.033002564345,7120.021282353557
853.0,0.6,-600,-12.82051282051282,-3316.2393162393446,33.550400217066745,-0.03460493540357271,-0.028144559829059827,-21.983352947291326,-0.02415342164493658,-18.095240356547396,0,0,45.74130740687025,293.15,293.15,3.6054650250983578,0.0021952756666666668,0.0015750306795550089,0.001333598204902099,8698.143421032837,7118.410469020478
853.5,0.6,-600,-12.82051282051282,-3322.649572649601,33.51860331026984,-0.034077684140344316,-0.028144559829059824,-21.660626243174196,-0.023782838813381158,-17.80165704384805,0,0,45.750887649573336,293.15,293.15,3.605304132749965,0.0021952756666666663,0.0015741427382139426,0.0013347941872569355,8689.253839501329,7116.7996556873995
854.0,0.6,-600,-12.82051282051282,-3329.0598290598573,33.486806403472926,-0.03356848238567458,-0.028144559829059827,-21.34901423772442,-0.023432802831645567,-17.523964630640833,0,0,45.75996613961752,293.15,293.15,3.6051432404015733,0.0021952756666666668,0.0015732547968728763,0.0013359901696117723,8680.36425796982,7115.1888423543205
854.5,0.6,-600,-12.82051282051282,-3335.4700854701136,33.45500949667603,-0.03307672626947529,-0.028144559829059824,-21.048151502884558,-0.02310220606368018,-17.26129292318513,0,0,45.768565126582544,293.15,293.15,3.60498234805318,0.0021952756666666663,0.0015723668555318098,0.0013371861519666085,8671.474676438313,7113.578029021242
855.0,0.6,-600,-12.82051282051282,-3341.88034188037,33.423212589879114,-0.032601831154897475,-0.028144559829059827,-20.75768403007231,-0.022790001298950917,-17.01281994326448,0,0,45.77670582448445,293.15,293.15,3.604821455704789,0.0021952756666666668,0.0015714789141907436,0.0013383821343214454,8662.585094906804,7111.9672156881625
855.5,0.5,-500,-10.683760683760683,-3348.2905982906263,33.39141568308221,-0.032143231057558036,-0.028144559829059827,-20.475338495554983,-0.022495198416681676,-16.780263915846756,0,0,45.78440846269026,293.15,293.15,3.6046605633563966,0.0021952756666666668,0.0015705909728496773,0.0013395781166762818,8653.695513375294,7110.356402355085
856.0,0.5,-500,-10.683760683760683,-3353.6324786325067,33.36491826075145,-0.03157700088193536,-0.02345379985754986,-20.124133640563596,-0.022066411584750888,-16.448182516339966,0,0,45.85658056297715,293.15,293.15,3.6045264863994015,0.0021952756666666668,0.0015698510217321219,0.0013405747686386455,8646.287528765703,7109.014057910851
856.5,0.5,-500,-10.683760683760683,-3358.974358974387,33.3384208384207,-0.031030612145493897,-0.02345379985754985,-19.785248376319025,-0.02166090454496614,-16.133933904452864,0,0,45.86721220762718,293.15,293.15,3.6043924094424087,0.0021952756666666663,0.0015691110706145667,0.001341571420601009,8638.879544156116,7107.67171346662
