Zeit [s],Leistung [kW],Leistung [W],Current [A],Charge [C],SOC [%],U_R1 [V],I_R1 [A],U_R2 [V],I_R2 [A],Q_Irrev [W],Q_Sum_Cell [W],U_ges [V],Temperatur [K],Output Temperature [K],OCV [V],R [Ohm],R1 [Ohm],R2 [Ohm],C1 [C],C2 [C],U_R [V],Q_Irreversibel [W],Delta OCV [V],Q_Reversibel [W],Q_Cell [W]
667.0,-0.2,200,4.417186331483603,-2930.3229333840786,15.464667989166276,0.0025505351877086434,2.8916648027245757,-0.004529164954339181,-4.517275663844145,0,-5.422858071289676,45.28516078615811,313.15,315.57932682883717,3.4797913052622804,0.001281637383405501,0.0008420932114195442,0.0010824730741162485,6604.910693694299,12386.11847165846,0.005661231131897189,0.054136771694366426,-0.00034070664021667446,-0.47127970025511073,-0.4171429285607443
667.5,-0.2,200,4.416457765147919,-2928.1147045015045,15.475621505448885,0.0026556187507631103,3.0281888315921046,-0.0041819275061095364,-4.18404133271434,0,-5.44991590219553,45.2923206197381,313.15,315.5674986542231,3.4798901059791496,0.0012817660971754048,0.0008422642475593805,0.0010824857103887515,6605.547495740338,12384.175643656858,0.005660865832973658,0.05167469040713543,-0.0003404875698910223,-0.47089899057602236,-0.4192243001688869
668.0,-0.2,200,4.415759609209365,-2925.9068246969,15.486573290193949,0.0027512447336652222,3.1523143454483997,-0.0038476189337291614,-3.863218551103492,0,-5.472987687240815,45.29918970219656,313.15,315.55571696164566,3.4799888910775496,0.0012818943145882218,0.0008424346241349744,0.0010824982979321758,6606.18184209567,12382.24030775535,0.0056605371376337935,0.04952261626383753,-0.000340268534196121,-0.4705216691285156,-0.4209990528646781
668.5,-0.2,200,4.41509001187061,-2923.699279690965,15.497523414231324,0.002838270191281112,3.2651680413831268,-0.003525759660414321,-3.554346807199712,0,-5.4924740160728485,45.3057853869225,313.15,315.5439823510154,3.4800876611963667,0.001282022028135761,0.0008426043311693672,0.0010825108360094167,6606.813695614066,12380.312577283867,0.0056602426514203,0.0476495292458585,-0.00034004953171537354,-0.47014753048223146,-0.42249800123637293
669.0,-0.2,200,4.414447256392336,-2921.492056062769,15.508471944133092,0.0029174743005342687,3.3677739780591605,-0.003215887847375095,-3.256982627815219,0,-5.508733228420417,45.31212378609416,313.15,315.53229533938173,3.4801864169360814,0.0012821492313149928,0.0008427733600212683,0.0010825233239820495,6607.443024122258,12378.39255040027,0.005659980156464012,0.04602767432965627,-0.00033983056111733814,-0.4697763842081499,-0.4237487098784936
669.5,-0.5,500,11.034574374848548,-2915.9747688753446,15.535839440102457,0.003490524499102892,3.461062952883025,-0.002650085900043408,-2.970698948100977,0,-12.955826776198087,45.440500031430176,313.15,315.518991761515,3.4804332717497246,0.0012822759185211019,0.0008429417032429435,0.00108253576129983,6608.06979989083,12376.480311704614,0.014149368991998335,0.17578326136235686,-0.00033928321119795085,-1.172385321069902,-0.9966020597075451
670.0,0.6,-600,-13.204080051605802,-2922.5768089011476,15.50309122568875,0.0021783295756829055,4.139943668160789,-0.003084699313847738,-2.448003416388619,0,21.451573054701264,45.00987835591535,313.15,315.5134509876501,3.4801378828557126,0.001282420129305177,0.0008431333319696093,0.0010825499189673958,6608.783272291091,12374.303569079144,-0.016933178047136222,0.24452503259813138,-0.00033993817548622497,1.4055959716096582,1.6501210042077896
670.5,-3.3,3300,73.31723880489677,-2885.918189498699,15.684929615581847,0.007529593789946723,2.5833676739091667,-6.858251151842156e-06,-2.8494598336622476,0,-10.568467554446713,46.58327319254682,313.15,315.50076428666,3.4817780651325485,0.0012824801912938726,0.0008432131429385911,0.0010825558154589428,6609.08042462622,12373.396982988499,0.09402790644764256,6.908283624348976,-0.00033630140768836305,-7.721242666998723,-0.812959042649747
671.0,-4.0,4000,85.86773160972268,-2842.9843236938377,15.89789521977263,0.013349775782125657,8.927709886973195,0.0034638327753446154,-0.006335161219135069,0,7.746258398226081,46.93842526308913,313.15,315.49223412713695,3.4836990148823497,0.0012826177151326053,0.0008433958859856631,0.0010825693166461364,6609.760813849141,12371.321174277607,0.1101354737208823,9.524305370545912,-0.0003320420956045474,-8.928439339913137,0.5958660306327754
671.5,-7.6,7600,161.91425164781563,-2762.0271978699298,16.299468264534077,0.024399937166371226,15.826293928777975,0.009879176114554824,3.199613804532204,0,226.4823946159425,48.480761891075794,313.15,315.5327219341702,3.487321203746098,0.0012827101820618353,0.000843518756962481,0.0010825783944419009,6610.218287278507,12369.925462385523,0.2076890592095754,33.850178999933064,-0.0003240106347093184,-16.428456337168257,17.421722662764807
672.0,-5.4,5400,111.38438814415615,-2706.3350037978516,16.575719227193197,0.030637635246332548,28.946384954292885,0.014010312222328675,9.125962033546779,0,72.74978866109187,47.804717199732586,313.15,315.5386082135369,3.489812987429283,0.0012822712942335951,0.0008429355584436322,0.001082535307317656,6608.046921563608,12376.55011150352,0.14282500354302421,16.704922591549174,-0.00031848561545613606,-11.108785002234415,5.596137589314759
