Time,Charge
359,-3091.06908063985
359.5,-3099.43590423252
360,-3106.84147557039
360.5,-3112.13287309839
361,-3115.30449116329
361.5,-3115.30449116329
362,-3114.25124410217
362.5,-3113.19860539293
363,-3112.14552468549
363.5,-3111.09202516764
364,-3110.03812780269
364.5,-3108.98385248442
365,-3107.9292180914
365.5,-3105.81926698786
366,-3103.71100305327
366.5,-3101.60228107248
367,-3099.49312956141
367.5,-3097.38357132857
368,-3095.27362801678
368.5,-3093.16332015593
369,-3091.05266722168
369.5,-3088.94168769105
370,-3086.83039909506
370.5,-3084.7188180686
371,-3080.49510272664
371.5,-3066.79693044476
372,-3069.92661750165
372.5,-3055.07045261547
373,-3035.27712094256
373.5,-2991.78234160775
374,-2920.10118815461
374.5,-2845.69043895313
375,-2776.63887429183
375.5,-2776.63887429183
376,-2714.27067253716
376.5,-2691.78630680629
377,-2655.29496751908
377.5,-2602.33897736278
378,-2573.86376878653
378.5,-2533.72553815253
379,-2444.50290546462
379.5,-2493.63294917641
380,-2445.09114399281
380.5,-2424.45872201481
381,-2401.28395836371
381.5,-2372.13672109936
382,-2333.17355214539
382.5,-2333.17355214539
383,-2333.17355214539
383.5,-2333.17355214539
384,-2333.17355214539
384.5,-2333.17355214539
385,-2333.17355214539
385.5,-2333.17355214539
386,-2333.17355214539
386.5,-2333.17355214539
387,-2333.17355214539
387.5,-2333.17355214539
388,-2333.17355214539
388.5,-2333.17355214539
389,-2333.17355214539
389.5,-2333.17355214539
390,-2333.17355214539
390.5,-2333.17355214539
391,-2333.17355214539
391.5,-2333.17355214539
392,-2333.17355214539
392.5,-2333.17355214539
393,-2333.17355214539
393.5,-2333.17355214539
394,-2333.17355214539
394.5,-2333.17355214539
395,-2333.17355214539
395.5,-2333.17355214539
396,-2333.17355214539
396.5,-2333.17355214539
397,-2333.17355214539
397.5,-2333.17355214539
398,-2333.17355214539
398.5,-2333.17355214539
399,-2333.17355214539
399.5,-2333.17355214539
400,-2333.17355214539
400.5,-2333.17355214539
401,-2333.17355214539
401.5,-2333.17355214539
402,-2365.78691404294
402.5,-2456.2049801643
403,-2476.00982041081
403.5,-2519.36710168967
404,-2542.74581933177
404.5,-2587.54013421341
405,-2623.37316970967
405.5,-2621.14921133223
406,-2616.86970322544
406.5,-2597.66656023489
407,-2585.07112903537
407.5,-2575.57679519864
408,-2563.94973897474
408.5,-2552.35962651829
409,-2541.83404395211
409.5,-2531.30758998589
410,-2520.79060193128
410.5,-2510.28252091116
411,-2499.78292443039
411.5,-2489.29141280881
412,-2478.80760887233
412.5,-2468.33115658933
413,-2451.5800577345
413.5,-2457.8171700913
414,-2455.69005976159
414.5,-2439.86692494535
415,-2427.38736253782
415.5,-2406.53620010116
416,-2382.77942037492
416.5,-2358.09327978776
417,-2331.41133031491
417.5,-2331.41133031491
418,-2331.41133031491
418.5,-2331.41133031491
419,-2331.41133031491
419.5,-2331.41133031491
420,-2331.41133031491
420.5,-2331.41133031491
421,-2331.41133031491
421.5,-2331.41133031491
422,-2331.41133031491
422.5,-2331.41133031491
423,-2331.41133031491
423.5,-2331.41133031491
424,-2331.41133031491
424.5,-2331.41133031491
425,-2331.41133031491
425.5,-2331.41133031491
