Zeit [s],Leistung [kW],Leistung [W],Strom [A],Ladungsmenge[t],SOC [%],OCV,R,R1,C1,R2,C2
945.5,0.6,-600.0,-13.333333333333334,-3275.555555555527,23.75220458553806,3.5457647266313943,0.00178,0.0013998558509700195,8141.770691446224,0.0013495612610229255,7028.951183201065
946.0,0.6,-600.0,-13.333333333333334,-3282.2222222221935,23.719135802469278,3.545543827160495,0.00178,0.001399449336419755,8138.033194753103,0.0013501048456790099,7027.440747685192
946.5,0.6,-600.0,-13.333333333333334,-3288.88888888886,23.686067019400497,3.5453229276895954,0.00178,0.0013990428218694905,8134.295698059981,0.0013506484303350947,7025.930312169319
947.0,0.6,-600.0,-13.333333333333334,-3295.5555555555266,23.652998236331715,3.5451020282186962,0.00178,0.001398636307319226,8130.55820136686,0.0013511920149911793,7024.419876653446
947.5,0.6,-600.0,-13.333333333333334,-3302.222222222193,23.619929453262934,3.5448811287477966,0.00178,0.0013982297927689613,8126.820704673738,0.0013517355996472639,7022.909441137574
948.0,0.6,-600.0,-13.333333333333334,-3308.8888888888596,23.58686067019415,3.544660229276897,0.00178,0.0013978232782186966,8123.083207980617,0.0013522791843033487,7021.3990056217
948.5,0.6,-600.0,-13.333333333333334,-3315.555555555526,23.553791887125367,3.5444393298059973,0.00178,0.0013974167636684322,8119.345711287495,0.0013528227689594333,7019.888570105827
949.0,0.6,-600.0,-13.333333333333334,-3322.2222222221926,23.520723104056586,3.544218430335098,0.00178,0.0013970102491181677,8115.608214594373,0.0013533663536155179,7018.378134589953
949.5,0.6,-600.0,-13.333333333333334,-3328.888888888859,23.487654320987804,3.543997530864199,0.00178,0.0013966037345679032,8111.870717901252,0.0013539099382716025,7016.8676990740805
950.0,0.6,-600.0,-13.333333333333334,-3335.5555555555256,23.45458553791902,3.543776631393299,0.00178,0.0013961972200176387,8108.13322120813,0.001354453522927687,7015.357263558208
950.5,0.5,-500.0,-11.11111111111111,-3341.666666666637,23.424272486772637,3.543574140211641,0.00178,0.001395824581679896,8104.707182572769,0.0013549518088624315,7013.972697668658
951.0,0.5,-500.0,-11.11111111111111,-3347.2222222221926,23.39671516754865,3.543390057319225,0.00178,0.0013954858195546756,8101.592601995167,0.0013554047960758352,7012.71400140543
951.5,0.5,-500.0,-11.11111111111111,-3352.7777777777483,23.36915784832466,3.543205974426809,0.00178,0.001395147057429455,8098.478021417565,0.0013558577832892393,7011.455305142203
952.0,0.5,-500.0,-11.11111111111111,-3358.333333333304,23.341600529100678,3.5430218915343925,0.00178,0.0013948082953042346,8095.363440839964,0.0013563107705026431,7010.196608878975
952.5,0.5,-500.0,-11.11111111111111,-3363.8888888888596,23.31404320987669,3.5428378086419765,0.00178,0.0013944695331790141,8092.2488602623625,0.001356763757716047,7008.937912615747
953.0,0.5,-500.0,-11.11111111111111,-3369.4444444444152,23.286485890652703,3.54265372574956,0.00178,0.0013941307710537937,8089.134279684761,0.0013572167449294509,7007.679216352521
953.5,0.5,-500.0,-11.11111111111111,-3374.999999999971,23.258928571428715,3.542469642857144,0.00178,0.0013937920089285732,8086.019699107159,0.0013576697321428547,7006.420520089292
954.0,0.5,-500.0,-11.11111111111111,-3380.5555555555266,23.23137125220473,3.5422855599647276,0.00178,0.0013934532468033527,8082.905118529558,0.0013581227193562588,7005.161823826065
954.5,0.5,-500.0,-11.11111111111111,-3386.111111111082,23.203813932980744,3.5421014770723116,0.00178,0.0013931144846781322,8079.790537951956,0.0013585757065696625,7003.903127562837
955.0,0.5,-500.0,-11.11111111111111,-3391.666666666638,23.176256613756756,3.5419173941798956,0.00178,0.0013927757225529118,8076.675957374355,0.0013590286937830666,7002.64443129961
955.5,0.5,-500.0,-11.11111111111111,-3397.2222222221935,23.148699294532772,3.541733311287479,0.00178,0.0013924369604276915,8073.561376796753,0.0013594816809964702,7001.385735036382
956.0,0.5,-500.0,-11.11111111111111,-3402.777777777749,23.121141975308785,3.5415492283950627,0.00178,0.001392098198302471,8070.446796219152,0.0013599346682098743,7000.127038773155
956.5,0.5,-500.0,-11.11111111111111,-3408.333333333305,23.093584656084797,3.5413651455026463,0.00178,0.0013917594361772506,8067.332215641551,0.0013603876554232782,6998.868342509927
957.0,0.5,-500.0,-11.11111111111111,-3413.8888888888605,23.066027336860813,3.5411810626102307,0.00178,0.00139142067405203,8064.217635063949,0.001360840642636682,6997.609646246699
957.5,0.5,-500.0,-11.11111111111111,-3419.444444444416,23.038470017636826,3.5409969797178142,0.00178,0.0013910819119268096,8061.103054486348,0.001361293629850086,6996.350949983473
958.0,0.5,-500.0,-11.11111111111111,-3424.999999999972,23.010912698412838,3.540812896825398,0.00178,0.0013907431498015892,8057.9884739087465,0.0013617466170634898,6995.092253720244
958.5,0.5,-500.0,-11.11111111111111,-3430.5555555555275,22.983355379188854,3.5406288139329813,0.00178,0.0013904043876763687,8054.873893331145,0.0013621996042768936,6993.833557457017
959.0,0.5,-500.0,-11.11111111111111,-3436.111111111083,22.955798059964867,3.540444731040565,0.00178,0.0013900656255511482,8051.759312753544,0.0013626525914902975,6992.57486119379
959.5,0.5,-500.0,-11.11111111111111,-3441.666666666639,22.92824074074088,3.540260648148149,0.00178,0.0013897268634259277,8048.644732175942,0.0013631055787037016,6991.316164930562
960.0,0.5,-500.0,-11.11111111111111,-3447.2222222221944,22.900683421516895,3.540076565255733,0.00178,0.0013893881013007073,8045.530151598341,0.0013635585659171052,6990.057468667334
960.5,0.5,-500.0,-11.11111111111111,-3452.77777777775,22.873126102292908,3.5398924823633164,0.00178,0.0013890493391754868,8042.415571020739,0.0013640115531305093,6988.798772404107
961.0,0.5,-500.0,-11.11111111111111,-3458.3333333333057,22.84556878306892,3.5397083994709004,0.00178,0.0013887105770502663,8039.300990443137,0.001364464540343913,6987.540076140879
961.5,0.5,-500.0,-11.11111111111111,-3463.8888888888614,22.818011463844936,3.5395243165784844,0.00178,0.001388371814925046,8036.186409865536,0.001364917527557317,6986.2813798776515
962.0,0.5,-500.0,-11.11111111111111,-3469.444444444417,22.79045414462095,3.539340233686068,0.00178,0.0013880330527998256,8033.071829287935,0.001365370514770721,6985.022683614425
962.5,0.5,-500.0,-11.11111111111111,-3474.9999999999727,22.76289682539696,3.539156150793652,0.00178,0.0013876942906746051,8029.957248710333,0.0013658235019841248,6983.763987351196
963.0,0.5,-500.0,-11.11111111111111,-3480.5555555555284,22.735339506172977,3.5389720679012355,0.00178,0.0013873555285493847,8026.842668132732,0.0013662764891975287,6982.505291087969
963.5,0.5,-500.0,-11.11111111111111,-3486.111111111084,22.70778218694899,3.538787985008819,0.00178,0.0013870167664241642,8023.7280875551305,0.0013667294764109325,6981.246594824742
964.0,0.5,-500.0,-11.11111111111111,-3491.6666666666397,22.680224867725002,3.538603902116403,0.00178,0.0013866780042989437,8020.613506977528,0.0013671824636243366,6979.987898561514
964.5,0.5,-500.0,-11.11111111111111,-3497.2222222221953,22.652667548501014,3.5384198192239866,0.00178,0.0013863392421737232,8017.498926399927,0.0013676354508377403,6978.7292022982865
965.0,0.5,-500.0,-11.11111111111111,-3502.777777777751,22.62511022927703,3.5382357363315706,0.00178,0.0013860004800485028,8014.3843458223255,0.0013680884380511443,6977.470506035059
965.5,0.5,-500.0,-11.11111111111111,-3508.3333333333067,22.597552910053043,3.5380516534391546,0.00178,0.0013856617179232823,8011.269765244724,0.001368541425264548,6976.211809771832
966.0,0.5,-500.0,-11.11111111111111,-3513.8888888888623,22.569995590829055,3.537867570546738,0.00178,0.0013853229557980618,8008.155184667123,0.001368994412477952,6974.953113508604
966.5,0.5,-500.0,-11.11111111111111,-3519.444444444418,22.54243827160507,3.5376834876543217,0.00178,0.0013849841936728413,8005.040604089521,0.0013694473996913557,6973.694417245377
967.0,0.5,-500.0,-11.11111111111111,-3524.9999999999736,22.514880952381084,3.537499404761906,0.00178,0.0013846454315476209,8001.92602351192,0.0013699003869047598,6972.435720982149
967.5,0.6,-600.0,-13.333333333333334,-3531.111111111085,22.484567901234698,3.5372969135802474,0.00178,0.0013842727932098782,7998.499984876558,0.001370398672839504,6971.0511550925985
968.0,0.9,-900.0,-20.0,-3539.4444444444184,22.44323192239872,3.537020789241623,0.00178,0.0013837646500220475,7993.828114010156,0.0013710781536596097,6969.1631106977575
968.5,1.9,-1900.0,-42.22222222222222,-3554.999999999974,22.36607142857156,3.5365053571428584,0.00178,0.0013828161160714303,7985.107288392872,0.0013723465178571408,6965.638761160721
969.0,0.9,-900.0,-20.0,-3570.5555555555297,22.288910934744397,3.5359899250440927,0.00178,0.001381867582120813,7976.386462775588,0.0013736148820546715,6962.114411623683
969.5,0.9,-900.0,-20.0,-3580.5555555555297,22.239307760141223,3.5356585758377435,0.00178,0.0013812578102954162,7970.780217735905,0.0013744302590387985,6959.848758349874
970.0,0.8,-800.0,-17.77777777777778,-3589.999999999974,22.192460317460448,3.5353456349206356,0.00178,0.0013806819146825414,7965.485430753983,0.0013752003373015851,6957.708974702387
970.5,0.8,-800.0,-17.77777777777778,-3598.8888888888628,22.14836860670207,3.53505110229277,0.00178,0.0013801398952821887,7960.502101829821,0.0013759251168430314,6955.6950606812225
971.0,0.7,-700.0,-15.555555555555555,-3607.2222222221963,22.10703262786609,3.5347749779541457,0.00178,0.001379631752094358,7955.830230963418,0.0013766045976631373,6953.807016286381
971.5,0.7,-700.0,-15.555555555555555,-3614.999999999974,22.06845238095251,3.534517261904763,0.00178,0.0013791574851190493,7951.469818154777,0.0013772387797619026,6952.0448415178635
