Batterie Ladung [C],Zeit [s]
-3096.2795468053596,170.0
-3095.2185616148668,170.5
-3094.1574996232916,171.0
-3093.096366176564,171.5
-3092.0351662966004,172.0
-3090.9739047006397,172.5
-3089.9125858194407,173.0
-3088.8512138144033,173.5
-3087.789792593679,174.0
-3086.728325827327,174.5
-3085.6668169615737,175.0
-3084.605269232227,175.5
-3081.4205185674286,176.0
-3068.710639867335,176.5
-3076.0475445998245,177.0
-3067.4833424482335,177.5
-3052.745490920475,178.0
-3014.073668343085,178.5
-2945.8696278617795,179.0
-2873.95949089426,179.5
-2808.4551967079788,180.0
-2808.4551967079788,180.5
-2741.5420711106835,181.0
-2722.014501174495,181.5
-2684.22636392045,182.0
-2649.1617986052484,182.5
-2609.0360431556655,183.0
-2609.0360431556655,183.5
-2528.117590347736,184.0
-2548.206989917873,184.5
-2529.191602964933,185.0
-2502.7653715525917,185.5
-2476.543689767436,186.0
-2455.373347743807,186.5
-2431.0675678622533,187.0
-2431.0675678622533,187.5
-2431.0675678622533,188.0
-2431.0675678622533,188.5
-2431.0675678622533,189.0
-2431.0675678622533,189.5
-2431.0675678622533,190.0
-2431.0675678622533,190.5
-2431.0675678622533,191.0
-2431.0675678622533,191.5
-2431.0675678622533,192.0
-2431.0675678622533,192.5
-2431.0675678622533,193.0
-2431.0675678622533,193.5
-2431.0675678622533,194.0
-2431.0675678622533,194.5
-2431.0675678622533,195.0
-2431.0675678622533,195.5
-2431.0675678622533,196.0
-2431.0675678622533,196.5
-2431.0675678622533,197.0
-2431.0675678622533,197.5
-2431.0675678622533,198.0
-2431.0675678622533,198.5
-2431.0675678622533,199.0
-2431.0675678622533,199.5
-2431.0675678622533,200.0
-2431.0675678622533,200.5
-2431.0675678622533,201.0
-2431.0675678622533,201.5
-2431.0675678622533,202.0
-2431.0675678622533,202.5
-2431.0675678622533,203.0
-2431.0675678622533,203.5
-2431.0675678622533,204.0
-2431.0675678622533,204.5
-2431.0675678622533,205.0
-2431.0675678622533,205.5
-2431.0675678622533,206.0
-2431.0675678622533,206.5
-2463.758208993911,207.0
-2557.8374445990985,207.5
-2580.2396639704925,208.0
-2621.684004947326,208.5
-2645.1208727357553,209.0
-2690.0645163748704,209.5
-2726.062679845438,210.0
-2722.713497758989,210.5
-2718.4327651947874,211.0
-2699.2042306807166,211.5
-2686.6024992884186,212.0
-2677.0996213789335,212.5
-2666.5182165944316,213.0
-2655.9594891521547,213.5
-2645.411004720866,214.0
-2634.8723923410935,214.5
-2624.3431796453597,215.0
-2613.8229222428026,215.5
-2603.3112006985857,216.0
-2592.807619044129,216.5
-2582.311803368908,217.0
-2571.823400502628,217.5
-2555.0532825486525,218.0
-2541.528834251476,218.5
-2549.8722478302475,219.0
-2539.19826864545,219.5
-2530.8298817183563,220.0
-2513.0128796956024,220.5
-2491.2372447782614,221.0
-2469.5760174917527,221.5
-2445.8775743537735,222.0
-2445.8775743537735,222.5
-2445.8775743537735,223.0
-2445.8775743537735,223.5
-2445.8775743537735,224.0
-2445.8775743537735,224.5
-2445.8775743537735,225.0
-2445.8775743537735,225.5
-2445.8775743537735,226.0
