"Time","R2"
"519","0.0011311832705097"
"519.5","0.0011335578034178"
"520","0.0011359328839806"
"520.5","0.0011383065415509"
"521","0.001140678737875"
"521.5","0.0011410201503045"
"522","0.0011478223552137"
"522.5","0.0011549597199333"
"523","0.0011616236566005"
"523.5","0.0011670108291696"
"524","0.0011718570995788"
"524.5","0.0011766505569165"
"525","0.0011809354872753"
"525.5","0.0011850580211227"
"526","0.0011891554012668"
"526.5","0.0011932317376303"
"527","0.0011972872809105"
"527.5","0.0012011977235098"
"528","0.0012049607258141"
"528.5","0.0012084466983674"
"529","0.0012117852968821"
"529.5","0.0012148437671738"
"530","0.0012176168608433"
"530.5","0.0012202477465013"
"531","0.0012228849250054"
"531.5","0.0012255303945805"
"532","0.0012283261836025"
"532.5","0.0012311290590313"
"533","0.0012333528099314"
"533.5","0.0012336162551379"
"534","0.0012337484762093"
"534.5","0.0012312249406608"
"535","0.0012314738194048"
"535.5","0.001231398821322"
"536","0.0012315382404096"
"536.5","0.0012318831572823"
"537","0.0012329382495974"
"537.5","0.0012343415276012"
"538","0.0012357566894026"
"538.5","0.0012373433101585"
"539","0.0012390981365732"
"539.5","0.0012408591235217"
"540","0.0012426246241409"
"540.5","0.0012443943185218"
"541","0.001246325796035"
"541.5","0.0012482609440094"
"542","0.001250198162856"
"542.5","0.0012521372963272"
"543","0.0012539203558396"
"543.5","0.0012557051518281"
"544","0.0012574927635858"
"544.5","0.0012592830004552"
"545","0.001260422618028"
"545.5","0.0012581923762526"
"546","0.0012550128288737"
"546.5","0.0012426115536513"
"547","0.0012315033799292"
"547.5","0.001220983377816"
"548","0.0012110424886728"
"548.5","0.001201390199686"
"549","0.0011922685885116"
"549.5","0.0011833946221002"
"550","0.0011747660510165"
"550.5","0.0011663713501257"
"551","0.0011572322382376"
"551.5","0.0011576449861433"
"552","0.0011480240120737"
"552.5","0.0011479153211262"
"553","0.0011465460716701"
"553.5","0.0011483884090526"
"554","0.0011483147843916"
"554.5","0.0011500642376738"
"555","0.0011516986937601"
"555.5","0.0011530368114917"
"556","0.0011537303751833"
"556.5","0.0011542633660647"
"557","0.001154631785242"
"557.5","0.0011550050219757"
"558","0.0011553821566345"
"558.5","0.001155762553434"
"559","0.001156145642523"
"559.5","0.0011563569976761"
"560","0.0011565694779824"
"560.5","0.0011567823890978"
"561","0.0011569954502403"
"561.5","0.0011572084080956"
"562","0.0011574210345907"
"562.5","0.0011576331243174"
"563","0.0011578444922308"
"563.5","0.001158054971591"
"564","0.0011582644121224"
"564.5","0.0011584726783658"
"565","0.001158679648204"
"565.5","0.0011588852115411"
"566","0.0011589120012296"
"566.5","0.0011570572220319"
"567","0.0011574283873384"
"567.5","0.0011549551573906"
"568","0.0011514973581017"
"568.5","0.0011427641360852"
"569","0.0011265218627574"
"569.5","0.0011095188143651"
"570","0.0010943485877283"
"570.5","0.0010946184147785"
"571","0.0010815478443349"
"571.5","0.0010767102331546"
"572","0.0010694965090818"
"572.5","0.0010583149587818"
"573","0.0010529605223372"
"573.5","0.0010530700780212"
"574","0.0010465446067087"
"574.5","0.0010469928716094"
"575","0.0010363867971624"
"575.5","0.0010322411436998"
"576","0.001026946482227"
"576.5","0.0010222933114736"
"577","0.0010172117138881"
"577.5","0.0010172966183348"
"578","0.0010174308579323"
"578.5","0.0010176075948854"
"579","0.0010178222092264"
"579.5","0.0010180705972718"
"580","0.0010183491064522"
"580.5","0.0010186544839057"
"581","0.0010189838309929"
"581.5","0.0010193345630394"
"582","0.0010197043737187"
"582.5","0.0010200912035448"
"583","0.0010204932120068"
"583.5","0.0010209087529247"
"584","0.0010213363526556"
"584.5","0.0010217746908199"
"585","0.0010222225832538"
"585.5","0.0010226789669295"
"586","0.0010231428866135"
"586.5","0.0010236134830588"
"587","0.0010240899825539"
"587.5","0.0010245716876668"
"588","0.0010250579690468"
"588.5","0.0010255482581592"
"589","0.0010260420408436"
"589.5","0.0010265388516002"
"590","0.0010270382685185"
"590.5","0.0010275399087748"
"591","0.0010280434246302"
"591.5","0.0010285484998735"
"592","0.0010290548466554"
"592.5","0.00102956220267"
"593","0.0010300703286432"
"593.5","0.0010305790060928"
"594","0.001031088035329"
"594.5","0.0010315972336684"
"595","0.0010321064338368"
