Zeit [s],Leistung [kW],Leistung [W],Strom [A],Ladungsmenge[t],SOC [%],OCV,R,R1,C1,R2,C2
369.5,-0.2,200.0,4.444444444444445,-2746.666666666648,26.37566137566147,3.5632894179894183,0.00178,0.0014321060052910066,8438.278762433874,0.0013064368783068767,7148.779067460322
370.0,-0.2,200.0,4.444444444444445,-2744.4444444444257,26.386684303351064,3.563363051146385,0.00178,0.0014322415101410946,8439.524594664914,0.0013062556834215152,7149.282545965612
370.5,-0.4,400.0,8.88888888888889,-2739.9999999999814,26.40873015873025,3.5635103174603184,0.00178,0.001432512519841271,8442.016259126995,0.0013058932936507923,7150.289502976195
371.0,-1.3,1300.0,28.88888888888889,-2725.555555555537,26.48037918871261,3.5639889329806,0.00178,0.0014333933013668443,8450.11416862876,0.0013047155268959422,7153.562113260587
371.5,0.3,-300.0,-6.666666666666667,-2728.8888888888705,26.463844797178226,3.5638784832451504,0.00178,0.001433190044091712,8448.245420282197,0.0013049873192239843,7152.80689550265
372.0,-1.4,1400.0,31.11111111111111,-2713.333333333315,26.541005291005384,3.564393915343916,0.00178,0.0014341385780423294,8456.966245899483,0.0013037189550264535,7156.331245039687
372.5,-1.9,1900.0,42.22222222222222,-2692.2222222222035,26.64572310405653,3.5650934303350974,0.00178,0.001435425874118167,8468.801652094367,0.0013019976036155187,7161.114290839951
373.0,-4.2,4200.0,93.33333333333331,-2645.555555555537,26.87720458553801,3.5666397266313945,0.00178,0.001438271475970019,8494.96412894622,0.0012981925110229263,7171.687339451062
373.5,-7.1,7100.0,157.77777777777777,-2566.6666666666483,27.26851851851861,3.5692537037037044,0.00178,0.0014430818981481493,8539.19117314816,0.001291760092592591,7189.5608263888935
374.0,-7.6,7600.0,168.88888888888889,-2482.222222222204,27.687389770723197,3.572051763668431,0.00178,0.0014482310824515004,8586.5327979277,0.001284874686948852,7208.6930095899515
374.5,-7.1,7100.0,157.77777777777777,-2403.3333333333157,28.078703703703795,3.5746657407407416,0.00178,0.0014530415046296308,8630.759842129639,0.0012784422685185172,7226.566496527782
