U_Batterie [V],Zeit [s]
45.27515863011089,338.5
45.91322663728308,339.0
45.586910156729544,339.5
45.46640971999637,340.0
45.7401527507246,340.5
45.793256431526906,341.0
45.78613143620343,341.5
45.540799148065375,342.0
45.50524854190766,342.5
45.46590297571605,343.0
45.421681210168614,343.5
45.43134040353544,344.0
45.44092195117094,344.5
45.39133430986936,345.0
45.395407217271206,345.5
45.39969909982089,346.0
45.40364740104502,346.5
45.40726212253969,347.0
45.41055868261295,347.5
45.4722908065661,348.0
45.479344962526234,348.5
45.48544546312348,349.0
45.49113012838275,349.5
45.731253340121626,350.0
46.92067219884829,350.5
47.104557019299435,351.0
49.06749394743063,351.5
49.15512200180495,352.0
49.28305426885799,352.5
49.34306521794895,353.0
49.392490319497426,353.5
49.48267339547617,354.0
49.56108199646327,354.5
49.63068276984719,355.0
49.691810021504274,355.5
50.010432563649545,356.0
47.68617796051403,356.5
49.806567926317605,357.0
48.01251599707383,357.5
48.11018289423322,358.0
47.38332619404934,358.5
47.76706596939578,359.0
47.18673881733154,359.5
47.17759149977466,360.0
47.23569819342018,360.5
47.30353896990246,361.0
47.436112621300445,361.5
47.46859575933831,362.0
47.449870056274904,362.5
47.43215005693353,363.0
47.41532858185361,363.5
47.399358677614075,364.0
47.38419588080428,364.5
47.36979813959976,365.0
47.41221861939028,365.5
47.402595050584814,366.0
47.39359742185968,366.5
47.38508243918085,367.0
47.37702519918973,367.5
47.36940189906014,368.0
47.36219002078261,368.5
47.35536825956021,369.0
47.34891645676436,369.5
47.34281553664889,370.0
47.33704744661251,370.5
47.44456939976199,371.0
47.95334003457195,371.5
47.08540544093033,372.0
48.02546348658665,372.5
48.3252022297558,373.0
49.6445791018175,373.5
51.268406730448774,374.0
51.60212995297248,374.5
51.510389685781256,375.0
48.040455483233465,375.5
51.29808139395965,376.0
49.33224333732434,376.5
50.09556226913167,377.0
51.02361786043495,377.5
49.844790539537975,378.0
50.491592555113215,378.5
53.12724423052272,379.0
46.11613901234414,379.5
50.98376661294245,380.0
49.60823752559192,380.5
49.7437358682467,381.0
50.06268529295297,381.5
50.597884748011616,382.0
48.63595685501745,382.5
48.571990313436274,383.0
48.511272831882344,383.5
48.45362284448196,384.0
48.39886935272057,384.5
48.34685132503833,385.0
48.29741712524362,385.5
48.25042396939637,386.0
48.20573741059533,386.5
48.16323085093616,387.0
48.12278507978386,387.5
48.08428783741405,388.0
48.0476334030184,388.5
48.01272220603245,389.0
47.979460459727484,389.5
47.947759816004734,390.0
47.917537040340136,390.5
47.88871370584578,391.0
47.861215905439785,391.5
47.83497398114679,392.0
47.80992226958547,392.5
47.78599886273602,393.0
47.7631453831193,393.5
47.741306772557934,394.0
47.72043109372931,394.5
47.70046934375959,395.0
47.68137527914584,395.5
47.66310525133143,396.0
47.645618052296236,396.5
47.62887476955798,397.0
47.61283865001544,397.5
47.59747497209634,398.0
47.58275092570387,398.5
47.568635499485225,399.0
47.555099374973715,399.5
47.54211482718257,400.0
47.529655631253846,400.5
47.51769697478946,401.0
47.50621537551462,401.5
45.77226615890453,402.0
42.59719996422963,402.5
46.05055749517347,403.0
44.76383035660594,403.5
45.685107457374386,404.0
44.503819949308074,404.5
44.84844758844949,405.0
46.75189195746659,405.5
46.88982010455385,406.0
47.70549505642467,406.5
47.44023744927432,407.0
47.334900702606426,407.5
47.4907650529183,408.0
47.53755135626753,408.5
47.528249297754975,409.0
47.569349515676976,409.5
47.608018492834525,410.0
47.6449330114448,410.5
47.68018100292538,411.0
47.71385155645273,411.5
47.746028778615084,412.0
47.77679213532296,412.5
48.136936869196475,413.0
46.97419279393414,413.5
47.38921965316802,414.0
48.11336499936175,414.5
47.9804795021254,415.0
48.45447611438617,415.5
48.66370515976079,416.0
48.775497868730234,416.5
48.943844945533925,417.0
47.601897391694244,417.5
47.58345620972249,418.0
47.56595196150663,418.5
47.54933216390047,419.0
47.533547446892925,419.5
47.51855136366304,420.0
47.504300212299725,420.5
47.49075286848541,421.0
47.47787062848096,421.5
47.46561706178638,422.0
47.45395787288704,422.5
47.44286077152936,423.0
47.432295351002374,423.5
47.42223297393214,424.0
47.412646665125706,424.5
47.4035110110287,425.0
47.394802065387225,425.5
47.386497260729485,426.0
47.378575325305846,426.5
47.37101620514854,427.0
47.363800990932724,427.5
47.356911849340264,428.0
47.35033195864642,428.5
47.34404544826646,429.0
47.33803734201587,429.5
47.33229350485321,430.0
47.326800592888745,430.5
47.321546006455776,431.0
47.316517846054246,431.5
47.31170487098793,432.0
47.30709646052781,432.5
47.30268257744476,433.0
47.29845373376434,433.5
47.29440095860578,434.0
47.29051576797589,434.5
47.28679013639673,435.0
47.28321647025337,435.5
47.2797875827552,436.0
47.27649667041111,436.5
47.27333729092482,437.0
47.27030334242264,437.5
47.26738904393148,438.0
47.264588917029876,438.5
47.26189776859994,439.0
47.259310674612195,439.5
47.256822964880094,440.0
41.8037458710323,440.5
45.71672717971461,441.0
46.17235635773127,441.5
45.103931178647734,442.0
45.33318383421222,442.5
45.80787841322997,443.0
45.609347218144514,443.5
45.56420037332805,444.0
45.229022646078434,444.5
45.638645977834045,445.0
45.62038285853123,445.5
45.182931701787986,446.0
48.33047469193558,446.5
46.238111336662186,447.0
43.613835036415814,447.5
44.212612277559174,448.0
43.90116336678327,448.5
43.41177077694561,449.0
43.19525257356007,449.5
43.487764544329565,450.0
44.505597793309974,450.5
44.62625783118104,451.0
45.6194836954635,451.5
45.839900622967676,452.0
45.89090281280075,452.5
45.82385891037494,453.0
46.383699189423105,453.5
46.39062316101112,454.0
46.45263017784886,454.5
46.51138371808631,455.0
46.56743460006551,455.5
46.620917294770784,456.0
46.67196193918388,456.5
46.378767876527064,457.0
46.00312077607958,457.5
46.115873910489896,458.0
46.29685286080336,458.5
46.429623931254156,459.0
46.51047417683977,459.5
46.53622565473658,460.0
46.56086648136581,460.5
46.58439271059217,461.0
46.606859791471756,461.5
46.628320181347924,462.0
46.6488235778099,462.5
46.66841706946633,463.0
46.68714527844479,463.5
46.70505049498453,464.0
46.72217280455258,464.5
46.73855020789203,465.0
46.754218734391266,465.5
46.76921254914308,466.0
46.78356405404349,466.5
46.79730398326216,467.0
46.81046149339828,467.5
46.8230642486193,468.0
46.835138501063824,468.5
46.846709166774296,469.0
46.85779989741123,469.5
46.868433147986124,470.0
46.87863024083742,470.5
46.88841142606138,471.0
46.897795938597845,471.5
46.9068020521595,472.0
46.91544713018274,472.5
46.9237476739684,473.0
46.931719368170526,473.5
46.939377123783196,474.0
46.94673511876592,474.5
47.242489724167804,475.0
46.46084025374652,475.5
48.99684733707192,476.0
49.12588164197028,476.5
51.28104077600061,477.0
49.53975220313221,477.5
48.14767072036069,478.0
51.09361202279706,478.5
48.9103234787631,479.0
49.99412548118514,479.5
49.722281943540665,480.0
49.59085759664304,480.5
49.816641600291035,481.0
48.046980393469454,481.5
47.50286486399818,482.0
49.683550989605685,482.5
